timestamp,active_flights_count
2020-05-27 23:18:01.926962,5781
2020-05-27 23:18:09.917932,5773
2020-05-27 23:18:17.933512,5773
2020-05-27 23:18:26.093690,5765
2020-05-27 23:18:33.926476,5760
2020-05-27 23:22:02.200299,5732
2020-05-27 23:22:05.167545,5735
2020-05-27 23:22:13.177375,5741
2020-05-27 23:22:48.265161,5755
2020-05-27 23:22:56.263769,5754
2020-05-27 23:23:04.250622,5755
2020-05-27 23:23:12.278513,5764
2020-05-27 23:23:20.253263,5770
2020-05-27 23:23:28.256741,5776
2020-05-27 23:23:36.662652,5778
2020-05-27 23:23:44.515631,5781
2020-05-27 23:23:50.937447,5779
2020-05-27 23:23:56.208167,5775
2020-05-27 23:24:04.251857,5771
2020-05-27 23:24:12.210130,5765
2020-05-27 23:24:20.216369,5767
2020-05-27 23:24:28.249717,5765
2020-05-27 23:24:36.222003,5774
2020-05-27 23:24:44.449455,5759
2020-05-27 23:24:52.238966,5763
2020-05-27 23:25:00.209314,5760
2020-05-27 23:25:08.211726,5761
2020-05-27 23:25:16.224080,5765
2020-05-27 23:25:24.419072,5764
2020-05-27 23:25:32.212409,5759
2020-05-27 23:25:40.238818,5760
2020-05-27 23:25:48.216861,5751
2020-05-27 23:25:56.227981,5754
2020-05-27 23:26:04.246428,5751
2020-05-27 23:26:12.210671,5747
2020-05-27 23:26:20.227546,5753
2020-05-27 23:26:28.251006,5748
2020-05-27 23:26:36.216921,5751
2020-05-27 23:26:44.223213,5746
2020-05-27 23:26:52.234887,5740
2020-05-27 23:27:00.221437,5735
2020-05-27 23:27:08.208665,5732
2020-05-27 23:27:16.214712,5727
2020-05-27 23:27:24.242395,5725
2020-05-27 23:27:32.232945,5730
2020-05-27 23:27:40.226399,5730
2020-05-27 23:27:48.449191,5729
2020-05-27 23:27:56.216248,5717
2020-05-27 23:28:04.248442,5707
2020-05-27 23:28:12.214075,5707
2020-05-27 23:28:20.212438,5702
2020-05-27 23:28:28.236330,5703
2020-05-27 23:28:36.226611,5707
2020-05-27 23:28:44.263478,5702
2020-05-27 23:28:52.220240,5693
2020-05-27 23:29:00.233195,5692
2020-05-27 23:29:08.218917,5692
2020-05-27 23:29:16.262067,5691
2020-05-27 23:29:24.249726,5685
2020-05-27 23:29:32.224938,5680
2020-05-27 23:29:40.225923,5681
2020-05-27 23:29:48.244763,5681
2020-05-27 23:29:56.235761,5679
2020-05-27 23:30:04.218486,5679
2020-05-27 23:30:12.225918,5681
2020-05-27 23:30:20.230303,5680
2020-05-27 23:30:28.216312,5690
2020-05-27 23:30:36.219040,5683
2020-05-27 23:30:44.227917,5682
2020-05-27 23:30:52.229869,5689
2020-05-27 23:31:00.221039,5690
2020-05-27 23:31:08.220171,5675
2020-05-27 23:31:16.224426,5669
2020-05-27 23:31:24.237555,5670
2020-05-27 23:31:32.243952,5676
2020-05-27 23:31:40.244137,5672
2020-05-27 23:31:48.233816,5671
2020-05-27 23:31:56.240139,5666
2020-05-27 23:32:04.255919,5657
2020-05-27 23:32:12.243323,5656
2020-05-27 23:32:20.232937,5652
2020-05-27 23:32:28.228082,5656
2020-05-27 23:32:36.221125,5656
2020-05-27 23:32:44.224821,5661
2020-05-27 23:32:52.242590,5655
2020-05-27 23:33:00.227822,5659
2020-05-27 23:33:08.242964,5657
2020-05-27 23:33:16.222584,5651
2020-05-27 23:33:25.248248,5652
2020-05-27 23:33:32.243381,5661
2020-05-27 23:33:40.404315,5664
2020-05-27 23:33:48.218309,5671
2020-05-27 23:33:57.225559,5675
2020-05-27 23:34:04.227903,5677
2020-05-27 23:34:12.245517,5681
2020-05-27 23:34:20.246808,5676
2020-05-27 23:34:28.244690,5675
2020-05-27 23:34:36.225889,5680
2020-05-27 23:34:44.222136,5675
2020-05-27 23:34:52.240811,5683
2020-05-27 23:35:00.244989,5683
2020-05-27 23:35:08.989993,5679
2020-05-27 23:35:16.989049,5683
2020-05-27 23:35:25.012620,5672
2020-05-27 23:35:33.024022,5675
2020-05-27 23:35:40.988455,5682
2020-05-27 23:35:48.983935,5678
2020-05-27 23:35:56.989501,5678
2020-05-27 23:36:04.994249,5673
2020-05-27 23:36:12.994796,5671
2020-05-27 23:36:21.042796,5673
2020-05-27 23:36:29.039112,5666
2020-05-27 23:36:37.031028,5666
2020-05-27 23:36:45.233357,5668
2020-05-27 23:36:53.031296,5679
2020-05-27 23:37:01.036360,5685
2020-05-27 23:37:09.050379,5680
2020-05-27 23:37:17.032599,5679
2020-05-27 23:37:25.065279,5683
2020-05-27 23:37:33.040711,5686
2020-05-27 23:37:41.032474,5684
2020-05-27 23:37:49.455520,5684
2020-05-27 23:37:57.055791,5686
2020-05-27 23:38:05.065012,5686
2020-05-27 23:38:13.054045,5703
2020-05-27 23:38:21.041814,5702
2020-05-27 23:38:29.028695,5698
2020-05-27 23:38:37.048424,5698
2020-05-27 23:41:00.668927,5673
2020-05-27 23:41:08.651085,5673
2020-05-27 23:41:16.670802,5662
2020-05-27 23:49:34.903570,5667
2020-05-27 23:50:54.915752,5653
2020-05-27 23:50:55.332946,5651
2020-05-27 23:51:03.329949,5652
2020-05-27 23:51:11.317684,5645
2020-05-27 23:51:19.338737,5653
2020-05-27 23:51:27.511742,5649
2020-05-27 23:51:35.361657,5651
2020-05-27 23:51:43.340469,5655
2020-05-27 23:51:51.340455,5655
2020-05-27 23:51:59.340409,5661
2020-05-27 23:52:07.497170,5667
2020-05-27 23:52:15.515792,5670
2020-05-27 23:52:23.504383,5677
2020-05-27 23:52:31.487991,5675
2020-05-27 23:52:39.498338,5676
2020-05-27 23:52:47.505215,5673
2020-05-28 00:01:12.421503,5658
2020-05-28 00:01:18.827328,5661
2020-05-28 00:01:34.833930,5657
2020-05-28 00:01:50.906026,5654
2020-05-28 00:02:06.805423,5652
2020-05-28 00:02:23.156140,5652
2020-05-28 00:02:40.084114,5646
2020-05-28 00:02:55.724969,5639
2020-05-28 00:03:10.815454,5650
2020-05-28 00:03:26.816178,5643
2020-05-28 00:03:42.811531,5641
2020-05-28 00:03:58.819293,5645
2020-05-28 00:04:14.813237,5641
2020-05-28 00:04:30.824955,5641
2020-05-28 00:04:46.821774,5637
2020-05-28 00:05:02.834047,5637
2020-05-28 00:05:18.821014,5640
2020-05-28 00:05:34.841469,5637
2020-05-28 00:05:50.810259,5654
2020-05-28 00:06:06.821026,5636
2020-05-28 00:06:22.823746,5646
2020-05-28 00:06:38.833552,5645
2020-05-28 00:06:54.815842,5657
2020-05-28 00:07:10.813644,5647
2020-05-28 00:07:26.817801,5649
2020-05-28 00:07:42.857661,5671
2020-05-28 00:07:58.856899,5662
2020-05-28 00:08:14.870890,5666
2020-05-28 00:08:30.865533,5664
2020-05-28 00:08:46.882891,5650
2020-05-28 00:09:02.862753,5649
