,timestamp,active_flights_count
132,2020-05-27 23:50:54.915752,5653
133,2020-05-27 23:50:55.332946,5651
134,2020-05-27 23:51:03.329949,5652
135,2020-05-27 23:51:11.317684,5645
136,2020-05-27 23:51:19.338737,5653
137,2020-05-27 23:51:27.511742,5649
138,2020-05-27 23:51:35.361657,5651
139,2020-05-27 23:51:43.340469,5655
140,2020-05-27 23:51:51.340455,5655
141,2020-05-27 23:51:59.340409,5661
142,2020-05-27 23:52:07.497170,5667
143,2020-05-27 23:52:15.515792,5670
144,2020-05-27 23:52:23.504383,5677
145,2020-05-27 23:52:31.487991,5675
146,2020-05-27 23:52:39.498338,5676
147,2020-05-27 23:52:47.505215,5673
148,2020-05-28 00:01:12.421503,5658
149,2020-05-28 00:01:18.827328,5661
150,2020-05-28 00:01:34.833930,5657
151,2020-05-28 00:01:50.906026,5654
152,2020-05-28 00:02:06.805423,5652
153,2020-05-28 00:02:23.156140,5652
154,2020-05-28 00:02:40.084114,5646
155,2020-05-28 00:02:55.724969,5639
156,2020-05-28 00:03:10.815454,5650
157,2020-05-28 00:03:26.816178,5643
158,2020-05-28 00:03:42.811531,5641
159,2020-05-28 00:03:58.819293,5645
160,2020-05-28 00:04:14.813237,5641
161,2020-05-28 00:04:30.824955,5641
162,2020-05-28 00:04:46.821774,5637
163,2020-05-28 00:05:02.834047,5637
164,2020-05-28 00:05:18.821014,5640
165,2020-05-28 00:05:34.841469,5637
166,2020-05-28 00:05:50.810259,5654
167,2020-05-28 00:06:06.821026,5636
168,2020-05-28 00:06:22.823746,5646
169,2020-05-28 00:06:38.833552,5645
170,2020-05-28 00:06:54.815842,5657
171,2020-05-28 00:07:10.813644,5647
172,2020-05-28 00:07:26.817801,5649
173,2020-05-28 00:07:42.857661,5671
174,2020-05-28 00:07:58.856899,5662
175,2020-05-28 00:08:14.870890,5666
176,2020-05-28 00:08:30.865533,5664
177,2020-05-28 00:08:46.882891,5650
178,2020-05-28 00:09:02.862753,5649
179,2020-05-28 00:09:18.862822,5634
180,2020-05-28 00:09:34.843685,5627
181,2020-05-28 00:09:50.877535,5624
182,2020-05-28 00:10:06.875706,5619
183,2020-05-28 00:10:22.866434,5618
184,2020-05-28 00:10:38.872364,5616
185,2020-05-28 00:10:54.878141,5613
186,2020-05-28 00:11:10.878562,5625
187,2020-05-28 00:11:26.885288,5632
188,2020-05-28 00:11:42.853413,5642
189,2020-05-28 00:11:59.474971,5645
190,2020-05-28 00:12:14.861368,5653
191,2020-05-28 00:12:30.885156,5661
192,2020-05-28 00:12:46.927945,5660
193,2020-05-28 00:13:02.873957,5663
194,2020-05-28 00:13:18.915295,5646
195,2020-05-28 00:13:34.898291,5643
196,2020-05-28 00:13:51.094538,5649
197,2020-05-28 00:14:06.886046,5657
198,2020-05-28 00:14:23.333940,5647
199,2020-05-28 00:14:38.884686,5651
200,2020-05-28 00:14:54.896137,5665
201,2020-05-28 00:15:10.899511,5659
202,2020-05-28 00:15:26.922863,5660
203,2020-05-28 00:15:42.930936,5658
204,2020-05-28 00:15:58.908601,5654
205,2020-05-28 00:16:14.923325,5652
206,2020-05-28 00:16:30.913782,5640
207,2020-05-28 00:16:46.912275,5634
208,2020-05-28 00:17:02.901363,5638
209,2020-05-28 00:17:18.935784,5644
210,2020-05-28 00:17:34.899310,5641
211,2020-05-28 00:17:50.933644,5652
212,2020-05-28 00:18:06.900492,5648
213,2020-05-28 00:18:22.907415,5647
214,2020-05-28 00:18:38.922428,5645
215,2020-05-28 00:18:54.899926,5624
216,2020-05-28 00:19:10.869984,5627
217,2020-05-28 00:19:26.878076,5625
218,2020-05-28 00:19:42.903524,5622
219,2020-05-28 00:19:58.895693,5628
220,2020-05-28 00:20:14.892112,5623
221,2020-05-28 00:20:30.877773,5617
222,2020-05-28 00:20:46.910553,5619
223,2020-05-28 00:21:02.909205,5619
224,2020-05-28 00:21:18.945715,5612
225,2020-05-28 00:21:34.881168,5610
226,2020-05-28 00:21:50.910369,5616
227,2020-05-28 00:22:06.941915,5620
228,2020-05-28 00:22:22.910599,5617
229,2020-05-28 00:22:38.897366,5616
230,2020-05-28 00:22:54.964585,5607
231,2020-05-28 00:23:10.913558,5615
232,2020-05-28 00:23:27.188831,5633
233,2020-05-28 00:23:42.943649,5626
234,2020-05-28 00:23:58.891442,5629
235,2020-05-28 00:24:14.916610,5635
236,2020-05-28 00:24:30.869110,5636
237,2020-05-28 00:24:46.944989,5651
238,2020-05-28 00:25:02.921314,5654
239,2020-05-28 00:25:18.909357,5654
240,2020-05-28 00:25:34.901909,5671
241,2020-05-28 00:25:50.940386,5668
242,2020-05-28 00:26:06.916690,5681
243,2020-05-28 00:26:22.880336,5693
244,2020-05-28 00:26:38.940618,5691
245,2020-05-28 00:26:54.963644,5693
246,2020-05-28 00:27:10.950981,5695
247,2020-05-28 00:27:26.967308,5696
248,2020-05-28 00:27:42.967839,5710
249,2020-05-28 00:27:58.960964,5710
250,2020-05-28 00:28:14.960925,5706
251,2020-05-28 00:28:30.945944,5699
252,2020-05-28 00:28:46.949081,5698
253,2020-05-28 00:29:02.962389,5695
254,2020-05-28 00:29:18.980197,5701
255,2020-05-28 00:29:34.954849,5701
256,2020-05-28 00:29:51.161100,5687
257,2020-05-28 00:30:06.946534,5674
258,2020-05-28 00:30:23.115920,5685
259,2020-05-28 00:30:38.985682,5680
260,2020-05-28 00:30:54.965637,5688
261,2020-05-28 00:31:10.972409,5685
262,2020-05-28 00:31:26.973727,5684
263,2020-05-28 00:31:42.980890,5693
264,2020-05-28 00:31:58.991192,5690
265,2020-05-28 00:32:14.913465,5683
266,2020-05-28 00:32:30.948121,5693
267,2020-05-28 00:32:46.982565,5689
268,2020-05-28 00:33:02.988495,5682
269,2020-05-28 00:33:18.950539,5687
270,2020-05-28 00:33:34.965252,5687
271,2020-05-28 00:33:51.001007,5679
272,2020-05-28 00:34:06.959772,5682
273,2020-05-28 00:34:23.004589,5685
274,2020-05-28 00:34:38.986288,5686
275,2020-05-28 00:34:54.982788,5681
276,2020-05-28 00:35:10.954661,5681
277,2020-05-28 00:35:26.968991,5666
278,2020-05-28 00:35:42.990294,5671
279,2020-05-28 00:35:58.941727,5678
280,2020-05-28 00:36:05.718067,5676
281,2020-05-28 00:36:21.748971,5677
282,2020-05-28 00:36:37.738265,5674
283,2020-05-28 00:36:53.720714,5668
284,2020-05-28 00:37:09.740606,5660
285,2020-05-28 00:37:25.773192,5644
286,2020-05-28 00:37:41.745031,5639
287,2020-05-28 00:37:57.747172,5639
288,2020-05-28 00:38:13.701745,5642
289,2020-05-28 00:38:29.769836,5638
290,2020-05-28 00:38:45.751346,5644
291,2020-05-28 00:39:01.752062,5642
292,2020-05-28 00:39:17.716375,5635
293,2020-05-28 00:39:33.714815,5647
294,2020-05-28 00:39:49.713439,5652
295,2020-05-28 00:40:05.746812,5641
296,2020-05-28 00:40:21.739675,5646
297,2020-05-28 00:40:37.773740,5655
298,2020-05-28 00:40:53.766036,5649
299,2020-05-28 00:41:09.766431,5645
300,2020-05-28 00:41:25.746487,5641
301,2020-05-28 00:41:41.755682,5636
302,2020-05-28 00:41:57.765723,5643
303,2020-05-28 00:42:13.919802,5651
304,2020-05-28 00:42:29.772463,5646
305,2020-05-28 00:42:45.842875,5641
306,2020-05-28 00:43:01.751330,5648
307,2020-05-28 00:43:17.786830,5642
308,2020-05-28 00:43:33.773165,5641
309,2020-05-28 00:43:49.773173,5642
310,2020-05-28 00:44:05.760552,5642
311,2020-05-28 00:44:21.766421,5653
312,2020-05-28 00:44:37.786744,5660
313,2020-05-28 00:44:53.784547,5658
314,2020-05-28 00:45:09.748900,5670
315,2020-05-28 00:45:25.769672,5658
316,2020-05-28 00:45:41.754806,5668
317,2020-05-28 00:45:57.774176,5673
318,2020-05-28 00:46:13.759140,5657
319,2020-05-28 00:46:29.787021,5656
320,2020-05-28 00:46:45.777462,5654
321,2020-05-28 00:47:01.782464,5641
322,2020-05-28 00:47:17.781160,5646
323,2020-05-28 00:47:33.772439,5631
324,2020-05-28 00:47:49.771697,5631
325,2020-05-28 00:48:05.771664,5637
326,2020-05-28 00:48:21.830131,5643
327,2020-05-28 00:48:37.746002,5631
328,2020-05-28 00:48:53.784952,5635
329,2020-05-28 00:49:09.797749,5627
330,2020-05-28 00:49:25.798167,5630
331,2020-05-28 00:49:41.793477,5651
332,2020-05-28 00:49:57.802000,5633
333,2020-05-28 00:50:13.780653,5628
334,2020-05-28 00:50:29.779786,5624
335,2020-05-28 00:50:45.841939,5619
336,2020-05-28 00:51:01.789214,5613
337,2020-05-28 00:51:17.764041,5615
338,2020-05-28 00:51:33.781614,5616
339,2020-05-28 00:51:49.960363,5624
340,2020-05-28 00:52:05.759076,5624
341,2020-05-28 00:52:23.285288,5627
342,2020-05-28 00:52:37.772200,5627
343,2020-05-28 00:52:53.737671,5628
344,2020-05-28 00:53:09.756085,5620
345,2020-05-28 00:53:25.804160,5612
346,2020-05-28 00:53:41.747557,5614
347,2020-05-28 00:53:57.787689,5617
348,2020-05-28 00:54:13.799157,5625
349,2020-05-28 00:54:29.795963,5622
350,2020-05-28 00:54:45.977393,5623
351,2020-05-28 00:55:01.773939,5627
352,2020-05-28 00:55:17.764803,5619
353,2020-05-28 00:55:33.766214,5617
354,2020-05-28 00:55:50.170007,5613
355,2020-05-28 00:56:05.761036,5599
356,2020-05-28 00:56:21.769617,5604
357,2020-05-28 00:56:37.752639,5609
358,2020-05-28 00:56:53.754385,5619
359,2020-05-28 00:57:09.800584,5615
360,2020-05-28 00:57:25.788917,5615
361,2020-05-28 00:57:41.796519,5612
362,2020-05-28 00:57:57.792421,5597
363,2020-05-28 00:58:13.787345,5596
364,2020-05-28 00:58:29.776814,5610
365,2020-05-28 00:58:45.812771,5606
366,2020-05-28 00:59:01.771044,5617
367,2020-05-28 00:59:17.771559,5614
368,2020-05-28 00:59:33.739715,5608
369,2020-05-28 00:59:49.794338,5602
370,2020-05-28 01:00:05.797867,5607
371,2020-05-28 01:00:21.775236,5601
372,2020-05-28 01:00:37.803741,5586
373,2020-05-28 01:00:53.828863,5582
374,2020-05-28 01:01:09.796873,5587
375,2020-05-28 01:01:25.788322,5576
376,2020-05-28 01:01:41.772105,5577
377,2020-05-28 01:01:57.800346,5582
378,2020-05-28 01:02:13.752611,5583
379,2020-05-28 01:02:29.773367,5564
380,2020-05-28 01:02:45.774706,5564
381,2020-05-28 01:03:01.789273,5550
382,2020-05-28 01:03:17.781987,5561
383,2020-05-28 01:03:33.810002,5554
384,2020-05-28 01:03:49.882327,5566
385,2020-05-28 01:04:05.786506,5562
386,2020-05-28 01:04:21.754320,5560
387,2020-05-28 01:04:37.798877,5571
388,2020-05-28 01:04:53.828329,5582
389,2020-05-28 01:05:09.778990,5574
390,2020-05-28 01:05:25.794928,5567
391,2020-05-28 01:05:41.790517,5562
392,2020-05-28 01:05:57.985532,5561
393,2020-05-28 01:06:13.812882,5564
394,2020-05-28 01:06:29.789096,5559
395,2020-05-28 01:06:45.794787,5558
396,2020-05-28 01:07:02.283637,5563
397,2020-05-28 01:07:17.777897,5566
398,2020-05-28 01:07:33.808148,5570
399,2020-05-28 01:07:49.789721,5578
400,2020-05-28 01:08:05.811053,5580
401,2020-05-28 01:08:21.811669,5588
402,2020-05-28 01:08:37.795629,5585
403,2020-05-28 01:08:53.815945,5581
404,2020-05-28 01:09:09.770636,5583
405,2020-05-28 01:09:25.805201,5587
406,2020-05-28 01:09:41.784993,5570
407,2020-05-28 01:09:57.793012,5574
408,2020-05-28 01:10:13.790116,5575
409,2020-05-28 01:10:29.825330,5573
410,2020-05-28 01:10:45.774792,5584
411,2020-05-28 01:11:01.793340,5573
412,2020-05-28 01:11:17.796597,5577
413,2020-05-28 01:11:33.764284,5572
414,2020-05-28 01:11:49.776253,5572
415,2020-05-28 01:12:05.801761,5570
416,2020-05-28 01:12:21.857584,5568
417,2020-05-28 01:12:37.815007,5552
418,2020-05-28 01:12:53.780790,5548
419,2020-05-28 01:13:09.761413,5541
420,2020-05-28 01:13:25.786487,5545
421,2020-05-28 01:13:42.009732,5544
422,2020-05-28 01:13:57.770494,5548
423,2020-05-28 01:14:13.796265,5544
424,2020-05-28 01:14:29.798466,5545
425,2020-05-28 01:14:45.833923,5552
426,2020-05-28 01:15:01.805279,5548
427,2020-05-28 01:15:17.777452,5550
428,2020-05-28 01:15:33.808116,5552
429,2020-05-28 01:15:49.801939,5545
430,2020-05-28 01:16:05.815322,5540
431,2020-05-28 01:16:21.849999,5536
432,2020-05-28 01:16:37.804542,5535
433,2020-05-28 01:16:53.770290,5537
434,2020-05-28 01:17:09.802405,5549
435,2020-05-28 01:17:25.802520,5546
436,2020-05-28 01:17:41.840112,5553
437,2020-05-28 01:17:57.803743,5548
438,2020-05-28 01:18:13.830612,5547
439,2020-05-28 01:18:30.248597,5556
440,2020-05-28 01:18:45.826440,5547
441,2020-05-28 01:19:01.797658,5555
442,2020-05-28 01:19:17.799208,5551
443,2020-05-28 01:19:33.808476,5549
444,2020-05-28 01:19:49.826400,5549
445,2020-05-28 01:20:05.842723,5570
446,2020-05-28 01:20:21.834194,5572
447,2020-05-28 01:20:37.848069,5570
448,2020-05-28 01:20:53.827958,5568
449,2020-05-28 01:21:09.832550,5567
450,2020-05-28 01:21:25.838146,5573
451,2020-05-28 01:21:41.823010,5586
452,2020-05-28 01:21:57.845496,5595
453,2020-05-28 01:22:13.846707,5593
454,2020-05-28 01:22:29.856916,5590
455,2020-05-28 01:22:45.874916,5577
456,2020-05-28 01:23:01.828542,5584
457,2020-05-28 01:23:17.848568,5583
458,2020-05-28 01:23:33.813210,5581
459,2020-05-28 01:23:49.867801,5576
460,2020-05-28 01:24:05.847989,5586
461,2020-05-28 01:24:21.816776,5590
462,2020-05-28 01:24:37.830595,5593
463,2020-05-28 01:24:53.826655,5598
464,2020-05-28 01:25:09.802962,5594
465,2020-05-28 01:25:25.829446,5595
466,2020-05-28 01:25:41.809608,5595
467,2020-05-28 01:25:57.857303,5591
468,2020-05-28 01:26:13.854787,5581
469,2020-05-28 01:26:29.856939,5587
470,2020-05-28 01:26:45.862879,5590
471,2020-05-28 01:27:01.808836,5585
472,2020-05-28 01:27:17.809999,5583
473,2020-05-28 01:27:33.797853,5581
474,2020-05-28 01:27:49.856831,5585
475,2020-05-28 01:28:05.816176,5591
476,2020-05-28 01:28:21.830269,5592
477,2020-05-28 01:28:37.848405,5600
478,2020-05-28 01:28:53.838593,5613
479,2020-05-28 01:29:09.832440,5619
